author_year,study,cluster,group,case,phase,session,outcome,B1,T1,B2,T2,T3,T4,P,M1,G1
Alghamdi et al. (2020),1,1,1,1,Baseline 1,1,34,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Baseline 1,2,29,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Baseline 1,3,32,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Baseline 1,4,36,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Baseline 1,5,37,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Baseline 1,6,34,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Intervention 1,10,71,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Intervention 1,12,98,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Intervention 1,14,89,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Intervention 1,16,99,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Intervention 1,18,98,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,1,Maintenance,29,90,0,0,0,0,0,0,0,1,0
Alghamdi et al. (2020),1,1,1,1,Maintenance,34,90,0,0,0,0,0,0,0,1,0
Alghamdi et al. (2020),1,1,1,2,Baseline 1,1,35,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Baseline 1,2,49,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Baseline 1,4,55,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Baseline 1,10,44,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Baseline 1,11,35,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Intervention 1,15,84,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Intervention 1,17,87,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Intervention 1,19,80,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Intervention 1,21,97,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Intervention 1,23,94,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,2,Maintenance,34,87,0,0,0,0,0,0,0,1,0
Alghamdi et al. (2020),1,1,1,2,Maintenance,39,99,0,0,0,0,0,0,0,1,0
Alghamdi et al. (2020),1,1,1,3,Baseline 1,1,14,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Baseline 1,2,13,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Baseline 1,4,9,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Baseline 1,14,17,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Baseline 1,15,0,1,0,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Intervention 1,19,40,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Intervention 1,21,69,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Intervention 1,23,80,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Intervention 1,25,93,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Intervention 1,27,78,0,1,0,0,0,0,0,0,0
Alghamdi et al. (2020),1,1,1,3,Maintenance,33,84,0,0,0,0,0,0,0,1,0
Alghamdi et al. (2020),1,1,1,3,Maintenance,39,86,0,0,0,0,0,0,0,1,0
Dennis et al. (2016),2,1,1,1,Baseline 1,1,0,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Baseline 1,2,0,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Baseline 1,3,0,1,0,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,4,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,5,13,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,6,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,7,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,8,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,9,35,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,10,20,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,11,35,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,12,19,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,13,8,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,14,0,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,15,15,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,16,35,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,17,23,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,18,40,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 1,19,80,0,1,0,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Baseline 2,21,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Baseline 2,22,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Baseline 2,23,0,0,0,1,0,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,24,20,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,25,38,0,0,0,1,0,0,0,0,0
Dennis et al. (2016),2,1,1,1,Intervention 2,26,92,0,0,0,1,0,0,0,0,0
